Synthetic_Label,Human_Review_Note,Publication_Classification,Requirement_ID,Requirement_Text,Detected_Domain_Category,Verification_Method,Suggested_Verification_Evidence,Acceptance_Criteria,Risk_Ambiguity_Flag,Reviewer_Notes
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-001,The lighting module shall operate from 9.0 V to 16.0 V input without loss of commanded function.,Power Input / Electrical,test,Bench input voltage sweep at low/nominal/high values using synthetic data; reviewer to verify evidence and status.,Numeric range detected: 9.0 V to 16.0 V.,Medium risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-012,AI-generated classifications shall remain draft until a qualified engineer reviews them.,Human Review / Governance,inspection,Check review status field before publish/export using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"High risk; needs review for Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-013,Diagnostic fault output shall set a review flag within 100 ms after a synthetic open-load condition is injected.,Diagnostics / Functional,test,Inject synthetic open-load condition and inspect diagnostic flag using synthetic data; reviewer to verify evidence and status.,"Numeric value(s) detected: 100 ms. Required output field, label, or report section is present.",High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-014,Input protection shall tolerate reverse connection for 60 s in a synthetic bench setup without claiming production approval.,Power Input / Electrical,test,Run synthetic reverse-input timing check and record review flag using synthetic data; reviewer to verify evidence and status.,Numeric value(s) detected: 60 s.,High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-015,Thermal derating shall reduce LED current when estimated junction temperature exceeds 115 C in the synthetic model.,Thermal / Analysis,analysis + test,Compare commanded current before and after synthetic derating threshold using synthetic data; reviewer to verify evidence and status.,Numeric value(s) detected: 115 C.,High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-016,WCCA prep report shall list missing tolerance values before margin calculations are discussed.,WCCA / Process,inspection,Inspect missing-data warnings before reviewing WCCA summary using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"Medium risk; needs review for Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-017,Requirements marked Internal only shall be excluded from any public export package.,Data Safety / Governance,inspection,Review export package for blocked-public rows using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"High risk; needs review for Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-018,Reviewer disposition shall include reviewer name date status and comment before a row is treated as reviewed.,Human Review / Governance,inspection,Inspect reviewer disposition fields in the generated checklist using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-019,Boost driver duty cycle shall remain below 0.62 at minimum synthetic input voltage.,Boost Driver / Analysis,analysis,Run feasibility calculation and inspect boost duty flag using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"High risk; needs review for Missing numeric limits, Missing units, Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-020,Low beam diagnostic fallback should command a defined synthetic output state after communication timeout.,Diagnostics / Functional,test,Inject synthetic communication timeout and inspect fallback row using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"High risk; needs review for Source ambiguity flag, Unclear owner, Unclear pass/fail criteria, Weak language.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-021,Design review packet shall include a validation gap row for every open risk.,Review Workflow / Process,inspection,Compare risk register rows against validation gap rows using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",Medium risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-022,Plot-derived LED model export shall preserve source page and curve ID in metadata.,LED Model / Data Governance,inspection,Inspect LED model metadata fields in the export package using synthetic data; reviewer to verify evidence and status.,TBD - define measurable pass/fail criteria during qualified engineer review.,"Medium risk; needs review for Unclear owner, Unclear pass/fail criteria.",TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-023,Assumptions register shall separate AI-drafted assumptions from reviewer-accepted decisions.,Human Review / Governance,inspection,Inspect assumptions register status values using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-024,Output CSV shall include publication classification and synthetic label columns.,Data Safety / Governance,inspection,Inspect CSV headers for safety metadata columns using synthetic data; reviewer to verify evidence and status.,"Required output field, label, or report section is present.",High risk; needs review for Unclear owner.,TBD - qualified engineer review required
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-REQ-025,Thermal sensitivity sweep shall evaluate ambient temperature from -20 C to 85 C using synthetic cases.,Thermal / Analysis,analysis,Run sensitivity sweep and inspect ambient-temperature plot using synthetic data; reviewer to verify evidence and status.,Numeric range detected: 20 C to 85 C.,Medium risk; needs review for Unclear owner.,TBD - qualified engineer review required
