Synthetic_Label,Human_Review_Note,Publication_Classification,Case_ID,Condition_ID,Topology,VIN_V,Ambient_Temp_C,LED_Current_High_A,LED_VF_High_V,Output_Power_W,Input_Current_A,Switch_Current_Stress_A,Inductor_Current_Stress_A,Thermal_Loss_W,Junction_Temp_C,Max_Ratio,Margin_pct,Pass_Fail_Status,Review_Status,Review_Reason
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-007,SYN-OC-HIGHLINE-HOT,Boost LED Driver,16.00,105.0,0.4770,24.000,11.448,0.8768,1.0084,1.0084,2.581,156.6,1.0442,-4.42,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-007,SYN-OC-HIGHLOAD-HOT,Boost LED Driver,9.00,105.0,0.5009,24.000,12.020,1.6368,1.8823,1.8823,2.710,159.2,1.1764,-17.64,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-008,SYN-OC-LOWLINE-HOT,SEPIC LED Driver,9.00,105.0,0.8480,15.600,13.229,1.8641,2.9833,2.9833,3.548,190.2,1.4917,-49.17,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-008,SYN-OC-NOMINAL,SEPIC LED Driver,13.50,85.0,0.8480,15.600,13.229,1.2428,2.2998,2.2998,3.548,170.2,1.1499,-14.99,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-008,SYN-OC-HIGHLINE-HOT,SEPIC LED Driver,16.00,105.0,0.8480,15.600,13.229,1.0486,2.0862,2.0862,3.548,190.2,1.0431,-4.31,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-008,SYN-OC-HIGHLOAD-HOT,SEPIC LED Driver,9.00,105.0,0.8904,15.600,13.890,1.9573,3.1325,3.1325,3.726,194.4,1.5663,-56.63,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-009,SYN-OC-LOWLINE-HOT,Buck LED Driver,9.00,105.0,0.6955,9.888,6.877,0.8851,0.7651,0.7651,1.089,125.7,0.8379,16.21,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-009,SYN-OC-NOMINAL,Buck LED Driver,13.50,85.0,0.6955,9.888,6.877,0.5901,0.7651,0.7651,1.089,105.7,0.7046,29.54,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-009,SYN-OC-HIGHLINE-HOT,Buck LED Driver,16.00,105.0,0.6955,9.888,6.877,0.4979,0.7651,0.7651,1.089,125.7,0.8379,16.21,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-009,SYN-OC-HIGHLOAD-HOT,Buck LED Driver,9.00,105.0,0.7303,9.888,7.221,0.9294,0.8033,0.8033,1.143,126.7,0.8448,15.52,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-010,SYN-OC-LOWLINE-HOT,Linear LED Channel,9.00,105.0,0.1308,6.240,0.816,0.1209,0.1308,N/A,0.361,115.8,0.7722,22.78,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-010,SYN-OC-NOMINAL,Linear LED Channel,13.50,85.0,0.1308,6.240,0.816,0.0806,0.1308,N/A,0.950,113.5,0.7566,24.34,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-010,SYN-OC-HIGHLINE-HOT,Linear LED Channel,16.00,105.0,0.1308,6.240,0.816,0.0680,0.1308,N/A,1.277,143.3,0.9553,4.47,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-010,SYN-OC-HIGHLOAD-HOT,Linear LED Channel,9.00,105.0,0.1373,6.240,0.857,0.1270,0.1373,N/A,0.379,116.4,0.7758,22.42,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-011,SYN-OC-LOWLINE-HOT,Buck LED Driver,9.00,105.0,0.5830,7.416,4.324,0.5693,0.6413,0.6413,0.800,121.0,0.8066,19.34,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-011,SYN-OC-NOMINAL,Buck LED Driver,13.50,85.0,0.5830,7.416,4.324,0.3795,0.6413,0.6413,0.800,101.0,0.6733,32.67,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-011,SYN-OC-HIGHLINE-HOT,Buck LED Driver,16.00,105.0,0.5830,7.416,4.324,0.3202,0.6413,0.6413,0.800,121.0,0.8066,19.34,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-011,SYN-OC-HIGHLOAD-HOT,Buck LED Driver,9.00,105.0,0.6122,7.416,4.540,0.5977,0.6734,0.6734,0.840,121.8,0.8120,18.80,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-012,SYN-OC-LOWLINE-HOT,Linear LED Channel,9.00,105.0,0.0333,3.360,0.112,0.0178,0.0333,N/A,0.188,113.5,0.9076,9.24,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-012,SYN-OC-NOMINAL,Linear LED Channel,13.50,85.0,0.0333,3.360,0.112,0.0118,0.0333,N/A,0.338,100.2,0.8016,19.84,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-012,SYN-OC-HIGHLINE-HOT,Linear LED Channel,16.00,105.0,0.0333,3.360,0.112,0.0100,0.0333,N/A,0.421,123.9,0.9915,0.85,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-012,SYN-OC-HIGHLOAD-HOT,Linear LED Channel,9.00,105.0,0.0350,3.360,0.117,0.0186,0.0350,N/A,0.197,113.9,0.9110,8.90,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-013,SYN-OC-LOWLINE-HOT,Boost LED Driver,9.00,105.0,0.4200,16.640,6.989,0.9406,1.0817,1.0817,1.476,131.6,0.8772,12.28,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-013,SYN-OC-NOMINAL,Boost LED Driver,13.50,85.0,0.4200,16.640,6.989,0.6270,0.7211,0.7211,1.476,111.6,0.7438,25.62,Pass,Within synthetic prep limit,All calculated stress ratios are below 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-013,SYN-OC-HIGHLINE-HOT,Boost LED Driver,16.00,105.0,0.4200,16.640,6.989,0.5291,0.6084,0.6084,1.476,131.6,0.8772,12.28,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-013,SYN-OC-HIGHLOAD-HOT,Boost LED Driver,9.00,105.0,0.4410,16.640,7.338,0.9876,1.1357,1.1357,1.550,132.9,0.8860,11.40,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-014,SYN-OC-LOWLINE-HOT,SEPIC LED Driver,9.00,105.0,0.7420,20.800,15.434,2.2013,3.2377,3.2377,4.378,201.3,1.5417,-54.17,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-014,SYN-OC-NOMINAL,SEPIC LED Driver,13.50,85.0,0.7420,20.800,15.434,1.4676,2.4305,2.4305,4.378,181.3,1.2088,-20.88,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-014,SYN-OC-HIGHLINE-HOT,SEPIC LED Driver,16.00,105.0,0.7420,20.800,15.434,1.2383,2.1783,2.1783,4.378,201.3,1.3422,-34.22,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-014,SYN-OC-HIGHLOAD-HOT,SEPIC LED Driver,9.00,105.0,0.7791,20.800,16.205,2.3114,3.3996,3.3996,4.597,206.1,1.6188,-61.88,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-015,SYN-OC-LOWLINE-HOT,Buck LED Driver,9.00,105.0,0.7950,11.330,9.007,1.2122,0.8745,0.8745,1.903,152.6,1.0171,-1.71,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-015,SYN-OC-NOMINAL,Buck LED Driver,13.50,85.0,0.7950,11.330,9.007,0.8082,0.8745,0.8745,1.903,132.6,0.8838,11.62,Review,Review required,At least one stress ratio is at or above 0.80.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-015,SYN-OC-HIGHLINE-HOT,Buck LED Driver,16.00,105.0,0.7950,11.330,9.007,0.6819,0.8745,0.8745,1.903,152.6,1.0171,-1.71,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,SYN-WCCA-015,SYN-OC-HIGHLOAD-HOT,Buck LED Driver,9.00,105.0,0.8348,11.330,9.458,1.2728,0.9182,0.9182,1.998,154.9,1.0330,-3.30,Fail,Over synthetic limit,At least one stress ratio exceeds 1.00.
