Synthetic_Label,Human_Review_Note,Publication_Classification,Engineering_Review_Required,Sweep_Name,Variable_Name,Sweep_Setting_Label,Base_Value,Sweep_Value,Sweep_Unit,Case_ID,Load_Name,Driver_Topology,Applied_Ambient_Temp_C,Applied_LED_Current_A,Applied_Board_Thermal_Resistance_C_per_W,Applied_LED_Thermal_Resistance_C_per_W,Applied_Optical_Efficiency_pct,Base_Status,Sweep_Status,Output_Power_W,Input_Current_at_Min_V_A,Voltage_Headroom_V,Boost_Duty_Cycle,Driver_Temp_Margin_C,LED_Temp_Margin_C,Max_Ratio,Reason
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,75C,95.0000,75.0000,C,SYN-LGT-003,Synthetic long-string signal,Boost LED Driver,75.00,0.5000,10.0000,20.0000,N/A,Fail,Fail,11.576,1.593,N/A,0.67,22.40,26.92,1.00,boost duty 0.67 exceeds synthetic max 0.62
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,85C,95.0000,85.0000,C,SYN-LGT-003,Synthetic long-string signal,Boost LED Driver,85.00,0.5000,10.0000,20.0000,N/A,Fail,Fail,11.576,1.593,N/A,0.67,12.40,16.92,1.00,boost duty 0.67 exceeds synthetic max 0.62
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,95C,95.0000,95.0000,C,SYN-LGT-003,Synthetic long-string signal,Boost LED Driver,95.00,0.5000,10.0000,20.0000,N/A,Fail,Fail,11.576,1.593,N/A,0.67,2.40,6.93,1.00,boost duty 0.67 exceeds synthetic max 0.62
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,105C,95.0000,105.0000,C,SYN-LGT-003,Synthetic long-string signal,Boost LED Driver,105.00,0.5000,10.0000,20.0000,N/A,Fail,Fail,11.576,1.593,N/A,0.67,-7.60,-3.07,1.06,driver case temperature ratio 1.06 exceeds 1.00; LED junction temperature ratio 1.02 exceeds 1.00; boost duty 0.67 exceeds synthetic max 0.62; driver thermal margin -7.6 C is below 0 C; LED junction margin -3.1 C is below 0 C
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,115C,95.0000,115.0000,C,SYN-LGT-003,Synthetic long-string signal,Boost LED Driver,115.00,0.5000,10.0000,20.0000,N/A,Fail,Fail,11.576,1.593,N/A,0.67,-17.60,-13.07,1.14,driver case temperature ratio 1.14 exceeds 1.00; LED junction temperature ratio 1.10 exceeds 1.00; boost duty 0.67 exceeds synthetic max 0.62; driver thermal margin -17.6 C is below 0 C; LED junction margin -13.1 C is below 0 C
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,75C,105.0000,75.0000,C,SYN-LGT-004,Synthetic hot-compartment marker,Buck LED Driver,75.00,0.3500,18.0000,18.0000,N/A,Marginal,Pass,2.315,0.301,1.90,N/A,42.85,39.16,0.71,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,85C,105.0000,85.0000,C,SYN-LGT-004,Synthetic hot-compartment marker,Buck LED Driver,85.00,0.3500,18.0000,18.0000,N/A,Marginal,Pass,2.315,0.301,1.90,N/A,32.85,29.16,0.78,All deterministic synthetic feasibility checks are below marginal limits.
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,95C,105.0000,95.0000,C,SYN-LGT-004,Synthetic hot-compartment marker,Buck LED Driver,95.00,0.3500,18.0000,18.0000,N/A,Marginal,Marginal,2.315,0.301,1.90,N/A,22.85,19.16,0.86,LED junction temperature ratio 0.86 is at or above 0.85
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,105C,105.0000,105.0000,C,SYN-LGT-004,Synthetic hot-compartment marker,Buck LED Driver,105.00,0.3500,18.0000,18.0000,N/A,Marginal,Marginal,2.315,0.301,1.90,N/A,12.85,9.16,0.93,driver case temperature ratio 0.90 is at or above 0.85; LED junction temperature ratio 0.93 is at or above 0.85; LED junction margin 9.2 C is 10 C or less
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,115C,105.0000,115.0000,C,SYN-LGT-004,Synthetic hot-compartment marker,Buck LED Driver,115.00,0.3500,18.0000,18.0000,N/A,Marginal,Fail,2.315,0.301,1.90,N/A,2.85,-0.84,1.01,LED junction temperature ratio 1.01 exceeds 1.00; LED junction margin -0.8 C is below 0 C
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,75C,105.0000,75.0000,C,SYN-LGT-005,Synthetic linear accent channel,Linear LED Channel,75.00,0.3000,12.0000,20.0000,N/A,Fail,Fail,2.778,0.315,-0.32,N/A,19.68,41.48,0.84,voltage headroom -0.32 V is below 0 V
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,85C,105.0000,85.0000,C,SYN-LGT-005,Synthetic linear accent channel,Linear LED Channel,85.00,0.3000,12.0000,20.0000,N/A,Fail,Fail,2.778,0.315,-0.32,N/A,9.68,31.48,0.92,voltage headroom -0.32 V is below 0 V
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,95C,105.0000,95.0000,C,SYN-LGT-005,Synthetic linear accent channel,Linear LED Channel,95.00,0.3000,12.0000,20.0000,N/A,Fail,Fail,2.778,0.315,-0.32,N/A,-0.32,21.48,1.00,driver case temperature ratio 1.00 exceeds 1.00; voltage headroom -0.32 V is below 0 V; driver thermal margin -0.3 C is below 0 C
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,105C,105.0000,105.0000,C,SYN-LGT-005,Synthetic linear accent channel,Linear LED Channel,105.00,0.3000,12.0000,20.0000,N/A,Fail,Fail,2.778,0.315,-0.32,N/A,-10.32,11.48,1.08,driver case temperature ratio 1.08 exceeds 1.00; voltage headroom -0.32 V is below 0 V; driver thermal margin -10.3 C is below 0 C
[SYNTHETIC — FOR DEMONSTRATION ONLY],Human Review Required: AI-generated outputs are decision-support artifacts only. A qualified engineer owns final review and approval.,Needs review,Yes - synthetic thresholds require qualified engineering review.,ambient_temperature_sweep,ambient_temperature_c,115C,105.0000,115.0000,C,SYN-LGT-005,Synthetic linear accent channel,Linear LED Channel,115.00,0.3000,12.0000,20.0000,N/A,Fail,Fail,2.778,0.315,-0.32,N/A,-20.32,1.48,1.16,driver case temperature ratio 1.16 exceeds 1.00; voltage headroom -0.32 V is below 0 V; driver thermal margin -20.3 C is below 0 C
